LAMMPS data file - Dimer fluid system

2532 atoms
1266 bonds
1 atom types
1 bond types

0.0 30.0 xlo xhi
0.0 10.0 ylo yhi
0.0 10.0 zlo zhi

Masses

1 1.0

Atoms # molecular

1 1 1 2.357847 1.270115 0.084020 0 0 0
2 1 1 1.392153 1.229885 0.165980 0 0 0
3 2 1 2.247848 1.146634 0.667447 0 0 0
4 2 1 1.502152 1.353366 0.082553 0 0 0
5 3 1 1.948248 1.552214 0.997191 0 0 0
6 3 1 1.801752 0.947786 0.252809 0 0 0
7 4 1 2.019462 1.711011 0.832282 0 0 0
8 4 1 1.730538 0.788989 0.917718 0 0 0
9 5 1 2.285005 0.994421 1.167429 0 0 0
10 5 1 1.464995 1.505579 1.082571 0 0 0
11 6 1 1.616653 1.650925 1.287017 0 0 0
12 6 1 2.133347 0.849075 1.462983 0 0 0
13 7 1 1.410559 1.197668 1.495460 0 0 0
14 7 1 2.339441 1.302332 1.754540 0 0 0
15 8 1 1.731850 1.450304 2.292865 0 0 0
16 8 1 2.018150 1.049696 1.457135 0 0 0
17 9 1 2.349256 1.229707 2.025527 0 0 0
18 9 1 1.400744 1.270293 2.224473 0 0 0
19 10 1 1.458437 1.324874 2.611841 0 0 0
20 10 1 2.291563 1.175126 2.138159 0 0 0
21 11 1 2.089542 1.526054 2.288859 0 0 0
22 11 1 1.660458 0.973946 2.961141 0 0 0
23 12 1 1.719751 1.602597 2.580385 0 0 0
24 12 1 2.030249 0.897403 3.169615 0 0 0
25 13 1 1.710892 1.123904 3.563627 0 0 0
26 13 1 2.039108 1.376096 2.686373 0 0 0
27 14 1 2.056802 1.598500 3.659114 0 0 0
28 14 1 1.693198 0.901500 3.090886 0 0 0
29 15 1 1.718339 1.138254 3.179809 0 0 0
30 15 1 2.031661 1.361746 4.070191 0 0 0
31 16 1 2.115113 0.865279 4.046932 0 0 0
32 16 1 1.634887 1.634721 3.703068 0 0 0
33 17 1 2.260830 1.184201 3.838590 0 0 0
34 17 1 1.489170 1.315799 4.411410 0 0 0
35 18 1 1.985457 1.208183 4.845399 0 0 0
36 18 1 1.764543 1.291817 3.904601 0 0 0
37 19 1 1.619284 1.612678 4.429298 0 0 0
38 19 1 2.130716 0.887322 4.820702 0 0 0
39 20 1 1.857688 1.542582 5.261421 0 0 0
40 20 1 1.892312 0.957418 4.488579 0 0 0
41 21 1 2.029000 0.850742 4.896742 0 0 0
42 21 1 1.721000 1.649258 5.353258 0 0 0
43 22 1 1.495252 0.983627 5.516639 0 0 0
44 22 1 2.254748 1.516373 5.233361 0 0 0
45 23 1 2.107158 1.197441 5.202430 0 0 0
46 23 1 1.642842 1.302559 6.047570 0 0 0
47 24 1 1.539765 0.899512 5.874492 0 0 0
48 24 1 2.210235 1.600488 5.875508 0 0 0
49 25 1 1.992141 1.439554 6.555781 0 0 0
50 25 1 1.757859 1.060446 5.694219 0 0 0
51 26 1 2.175778 1.257817 5.994610 0 0 0
52 26 1 1.574222 1.242183 6.755390 0 0 0
53 27 1 2.020957 0.998586 6.236783 0 0 0
54 27 1 1.729043 1.501414 7.013217 0 0 0
55 28 1 2.281893 1.511801 6.908510 0 0 0
56 28 1 1.468107 0.988199 6.841490 0 0 0
57 29 1 2.190356 1.266892 6.756910 0 0 0
58 29 1 1.559644 1.233108 7.493090 0 0 0
59 30 1 2.058901 1.176411 7.817708 0 0 0
60 30 1 1.691099 1.323589 6.932292 0 0 0
61 31 1 2.014495 1.209420 8.087730 0 0 0
62 31 1 1.735505 1.290580 7.162270 0 0 0
63 32 1 2.099743 1.616260 8.099876 0 0 0
64 32 1 1.650257 0.883740 7.650124 0 0 0
65 33 1 1.864265 0.913659 8.474262 0 0 0
